timestamp,temperatura,presion,humedad
2024-12-10 02:52:48,22.68,784.1521,55.42383
2024-12-10 02:53:05,22.49,784.3616,55.44336
2024-12-10 02:53:21,22.47,784.3688,55.2207
2024-12-10 02:53:37,22.49,784.3364,56.74805
2024-12-10 03:48:10,22.95,783.5536,54.17285
2024-12-10 03:48:26,22.7,783.8281,55.10547
2024-12-10 03:48:42,22.7,783.8458,54.68359
2024-12-10 03:48:58,22.67,783.8937,54.48047
2024-12-10 03:49:15,22.66,783.9052,54.74609
2024-12-10 03:49:31,22.67,783.8954,54.70313
2024-12-10 03:49:47,22.66,783.9302,54.79004
2024-12-10 03:50:04,22.65,783.9612,54.64551
2024-12-10 03:50:20,22.63,783.9482,54.79883
2024-12-10 03:50:36,22.61,783.9895,54.75
2024-12-10 03:50:53,22.61,784.0098,54.76172
2024-12-10 03:51:09,22.61,784.0081,53.9873
2024-12-10 03:51:25,22.63,783.9615,53.57031
2024-12-10 03:51:41,22.59,783.9888,53.80859
2024-12-10 03:51:58,22.57,784.037,53.7168
2024-12-10 03:52:14,22.56,784.0614,53.92676
2024-12-10 03:52:30,22.55,784.079,54.13477
2024-12-10 03:52:47,22.54,784.113,54.3877
2024-12-10 03:53:03,22.52,784.125,54.78418
2024-12-10 03:53:19,22.51,784.141,54.72754
2024-12-10 03:53:36,22.5,784.1572,54.69336
2024-12-10 03:53:52,22.49,784.1398,54.72559
2024-12-10 03:54:08,22.47,784.1534,54.67871
2024-12-10 03:54:25,22.47,784.1752,54.73438
2024-12-10 03:54:41,22.46,784.2023,54.9082
2024-12-10 03:54:57,22.44,784.2347,54.73047
2024-12-10 03:55:14,22.44,784.2026,54.64063
2024-12-10 03:55:30,22.42,784.265,54.62891
2024-12-10 03:55:46,22.41,784.2805,54.59473
2024-12-10 03:56:03,22.4,784.2665,54.60352
2024-12-10 03:56:19,22.39,784.3176,54.76758
2024-12-10 03:56:35,22.39,784.2927,54.84473
2024-12-10 03:56:52,22.38,784.2903,54.77832
2024-12-10 03:57:08,22.36,784.3275,54.98633
2024-12-10 03:57:24,22.35,784.37,54.90723
2024-12-10 03:57:40,22.35,784.343,54.8623
2024-12-10 03:57:57,22.34,784.3807,54.79492
2024-12-10 03:58:13,22.33,784.3948,54.75
2024-12-10 03:58:29,22.32,784.401,54.90332
2024-12-10 03:58:46,22.32,784.4324,55.08008
2024-12-10 03:59:02,22.32,784.4192,54.95898
2024-12-10 03:59:18,22.31,784.4419,54.96875
2024-12-10 03:59:35,22.3,784.4813,54.81152
2024-12-10 03:59:51,22.29,784.4441,54.83398
2024-12-10 04:00:07,22.29,784.4475,54.77832
2024-12-10 04:00:24,22.28,784.4816,54.82129
2024-12-10 04:00:40,22.28,784.478,54.7207
2024-12-10 04:00:56,22.27,784.4625,54.875
2024-12-10 04:01:13,22.26,784.4802,54.86328
2024-12-10 04:01:29,22.26,784.4753,54.57617
2024-12-10 04:01:45,22.25,784.486,54.70703
2024-12-10 04:02:02,22.24,784.4969,54.90527
2024-12-10 04:02:18,22.24,784.5389,54.86133
2024-12-10 04:02:34,22.24,784.5304,54.88281
2024-12-10 04:02:51,22.22,784.5139,54.78125
2024-12-10 04:03:07,22.22,784.5338,54.82422
2024-12-10 04:03:23,22.21,784.5581,54.71289
2024-12-10 04:03:40,22.2,784.5907,54.65625
2024-12-10 04:03:56,22.19,784.5983,54.79883
2024-12-10 04:04:12,22.19,784.5965,54.65527
2024-12-10 04:04:29,22.18,784.599,54.64258
2024-12-10 04:04:45,22.17,784.6319,54.50879
2024-12-10 04:05:01,22.17,784.642,54.4873
2024-12-10 04:05:18,22.16,784.6331,54.59668
2024-12-10 04:05:34,22.16,784.6577,54.72852
2024-12-10 04:05:50,22.15,784.6488,54.79395
2024-12-10 04:06:07,22.15,784.6689,54.7832
2024-12-10 04:06:23,22.14,784.6584,54.71582
2024-12-10 04:06:39,22.13,784.6559,54.71484
2024-12-10 04:06:56,22.13,784.6891,54.72559
2024-12-10 04:07:12,22.13,784.7092,54.66992
2024-12-10 04:07:28,22.12,784.6781,54.38086
2024-12-10 04:07:44,22.11,784.6995,53.96094
2024-12-10 04:08:01,22.14,784.6383,53.64355
2024-12-10 04:08:17,22.13,784.6487,53.48633
2024-12-10 04:08:34,22.12,784.6617,53.56348
2024-12-10 04:08:50,22.13,784.6605,53.62988
2024-12-10 04:09:06,22.13,784.6472,53.52051
2024-12-10 04:09:22,22.13,784.649,53.60938
2024-12-10 04:09:39,22.12,784.6667,53.61914
2024-12-10 04:09:55,22.12,784.6614,53.79492
2024-12-10 04:10:11,22.13,784.6655,53.81836
2024-12-10 04:10:28,22.13,784.6838,53.77441
2024-12-10 04:10:44,22.13,784.6689,53.97363
2024-12-10 04:11:00,22.13,784.6838,54.03906
2024-12-10 04:11:17,22.13,784.6658,54.11816
2024-12-10 04:11:33,22.14,784.6494,54.19629
2024-12-10 04:11:49,22.12,784.7087,54.18262
2024-12-10 04:12:06,22.15,784.6189,54.14258
2024-12-10 04:12:22,22.14,784.6267,54.25195
2024-12-10 04:12:38,22.14,784.6498,54.09668
2024-12-10 04:12:55,22.13,784.6641,53.88574
2024-12-10 04:13:11,22.14,784.6578,54.10742
2024-12-10 04:13:27,22.15,784.6139,54.06445
